Subject,Marks,Hours,Student_id,Year
Maths,58.4,2.9,S11239,3
Language,64.6,2.4,S11240,1
Science,66.6,1.2,S11240,1
Maths,68.2,6.3,S11240,1
Language,73.7,1.8,S11241,4
Science,93.8,5.0,S11241,4
Maths,51.9,6.4,S11241,4
Language,75.7,1.9,S11242,3
Science,96.0,5.6,S11242,3
Maths,63.6,3.2,S11242,3
Language,66.6,2.4,S11243,3
Science,60.4,1.4,S11243,3
Maths,70.6,1.6,S11243,3
Language,70.1,2.7,S11244,3
Science,100.0,5.9,S11244,3
Maths,70.6,4.9,S11244,3
Language,79.2,2.0,S11245,4
Science,98.0,4.4,S11245,4
Maths,55.6,2.2,S11245,4
Language,87.7,1.3,S11246,2
Science,78.5,2.4,S11246,2
Maths,87.0,3.7,S11246,2
Language,79.7,1.9,S11247,2
Science,85.5,7.6,S11247,2
Maths,91.9,5.0,S11247,2
Language,77.8,2.4,S11248,2
Science,86.2,3.5,S11248,2
Maths,86.5,3.1,S11248,2
Language,80.4,2.2,S11249,4
Science,96.0,6.9,S11249,4
Maths,74.4,3.5,S11249,4
Language,65.2,2.9,S11250,3
Science,100.0,4.9,S11250,3
Maths,77.6,4.7,S11250,3
Language,71.8,1.6,S11251,2
Science,64.7,1.4,S11251,2
Maths,67.1,7.1,S11251,2
Language,74.0,2.4,S11252,4
Science,85.4,5.7,S11252,4
Maths,68.3,7.7,S11252,4
Language,69.2,2.8,S11253,2
Science,95.7,5.7,S11253,2
Maths,70.1,7.7,S11253,2
Language,58.4,2.4,S11254,1
Science,94.3,5.0,S11254,1
Maths,79.1,2.0,S11254,1
Language,79.4,1.0,S11255,2
Science,83.2,2.9,S11255,2
Maths,69.7,7.6,S11255,2
Language,75.2,2.2,S11256,2
Science,92.3,6.4,S11256,2
Maths,79.7,5.0,S11256,2
Language,74.1,2.4,S11257,3
Science,79.0,3.6,S11257,3
Maths,34.4,2.2,S11257,3
Language,81.9,1.0,S11258,4
Science,87.6,6.6,S11258,4
Maths,76.3,7.9,S11258,4
Language,62.1,2.9,S11259,3
Science,76.8,2.2,S11259,3
Maths,72.3,1.6,S11259,3
Language,72.1,2.7,S11260,3
Science,86.5,4.7,S11260,3
Maths,56.5,2.9,S11260,3
Language,83.1,1.1,S11261,3
Science,68.9,3.1,S11261,3
Maths,72.3,2.9,S11261,3
Language,73.2,1.3,S11262,3
Science,90.8,5.3,S11262,3
Maths,83.1,6.0,S11262,3
Language,73.4,2.1,S11263,3
Science,94.1,4.2,S11263,3
Maths,62.1,6.6,S11263,3
Language,77.7,1.1,S11264,2
Science,71.8,3.2,S11264,2
Maths,80.5,5.9,S11264,2
Language,73.9,3.0,S11265,3
Science,80.7,2.9,S11265,3
Maths,79.7,3.5,S11265,3
Language,73.3,2.5,S11266,3
Science,95.9,4.7,S11266,3
Maths,87.5,3.0,S11266,3
Language,84.9,1.4,S11267,4
Science,71.3,1.2,S11267,4
Maths,33.4,7.1,S11267,4
Language,78.6,2.9,S11268,1
Science,91.9,4.1,S11268,1
Maths,52.0,6.2,S11268,1
Language,67.4,2.3,S11269,2
Science,64.9,1.1,S11269,2
Maths,80.1,3.8,S11269,2
Language,77.6,1.9,S11270,2
Science,82.6,3.0,S11270,2
Maths,81.6,3.3,S11270,2
Language,87.8,1.3,S11271,2
Science,83.5,3.2,S11271,2
Maths,69.5,7.9,S11271,2
Language,70.7,2.5,S11272,3
Science,94.1,3.4,S11272,3
Maths,36.1,7.0,S11272,3
Language,82.6,1.8,S11273,3
Science,92.8,6.8,S11273,3
Maths,57.7,2.3,S11273,3
Language,67.7,2.3,S11274,3
Science,87.1,3.3,S11274,3
Maths,48.8,6.8,S11274,3
Language,80.2,2.1,S11275,4
Science,63.6,1.4,S11275,4
Maths,38.0,1.6,S11275,4
Language,72.5,2.7,S11276,1
Science,96.0,5.9,S11276,1
Maths,92.0,7.6,S11276,1
Language,75.8,3.0,S11277,3
Science,100.0,5.5,S11277,3
Maths,72.9,7.9,S11277,3
Language,72.9,1.2,S11278,1
Science,100.0,5.5,S11278,1
Maths,71.0,5.3,S11278,1
Language,71.6,2.2,S11279,4
Science,72.7,1.9,S11279,4
Maths,69.9,3.3,S11279,4
Language,82.5,2.0,S11280,2
Science,85.7,6.3,S11280,2
Maths,60.7,7.3,S11280,2
Language,77.8,1.5,S11281,3
Science,56.9,1.2,S11281,3
Maths,71.7,6.0,S11281,3
Language,71.4,2.3,S11282,1
Science,88.7,5.7,S11282,1
Maths,67.8,4.0,S11282,1
Language,75.5,1.8,S11283,1
Science,92.2,6.4,S11283,1
Maths,82.9,4.0,S11283,1
Language,80.0,2.4,S11284,3
Science,97.1,5.3,S11284,3
Maths,42.6,1.8,S11284,3
Language,77.4,2.0,S11285,2
Science,96.5,4.7,S11285,2
Maths,85.5,3.0,S11285,2
Language,77.1,1.5,S11286,2
Science,90.4,4.0,S11286,2
Maths,57.8,2.3,S11286,2
Language,84.2,1.7,S11287,2
Science,85.9,3.5,S11287,2
Maths,86.5,6.0,S11287,2
Language,69.6,2.8,S11288,4
Science,89.9,7.7,S11288,4
Maths,72.4,1.2,S11288,4
Language,76.2,1.5,S11289,1
Science,83.4,2.9,S11289,1
Maths,59.6,4.1,S11289,1
Language,74.0,2.5,S11290,1
Science,77.5,2.4,S11290,1
Maths,49.7,7.5,S11290,1
Language,76.7,1.2,S11291,1
Science,93.7,4.9,S11291,1
Maths,65.2,5.2,S11291,1
Language,68.0,2.6,S11292,4
Science,81.4,2.7,S11292,4
Maths,48.9,7.8,S11292,4
Language,63.2,2.4,S11293,1
Science,100.0,5.1,S11293,1
Maths,31.7,6.1,S11293,1
Language,79.4,1.1,S11294,4
Science,67.6,1.9,S11294,4
Maths,71.7,5.7,S11294,4
Language,70.9,1.4,S11295,2
Science,100.0,4.8,S11295,2
Maths,48.7,1.5,S11295,2
Language,63.3,1.2,S11296,3
Science,90.5,7.7,S11296,3
Maths,67.4,7.6,S11296,3
Language,82.3,1.9,S11297,1
Science,85.7,3.5,S11297,1
Maths,80.7,5.1,S11297,1
Language,74.6,1.5,S11298,1
Science,58.7,1.8,S11298,1
Maths,48.7,6.9,S11298,1
Language,77.1,2.1,S11299,2
Science,83.4,3.2,S11299,2
Maths,72.5,3.8,S11299,2
Language,74.0,1.8,S11300,3
Science,83.9,7.1,S11300,3
Maths,72.3,3.5,S11300,3
Language,70.0,2.7,S11301,4
Science,93.5,3.7,S11301,4
Maths,66.3,1.9,S11301,4
Language,79.7,1.2,S11302,3
Science,100.0,5.1,S11302,3
Maths,82.8,6.4,S11302,3
Language,74.4,1.7,S11303,2
Science,74.2,2.7,S11303,2
Maths,84.1,7.9,S11303,2
Language,80.2,1.7,S11304,2
Science,86.8,4.0,S11304,2
Maths,84.5,7.4,S11304,2
Language,73.8,1.9,S11305,3
Science,74.3,2.6,S11305,3
Maths,39.9,6.3,S11305,3
Language,68.4,2.2,S11306,4
Science,98.9,4.4,S11306,4
Maths,58.1,1.3,S11306,4
Language,78.4,1.3,S11307,4
Science,100.0,5.6,S11307,4
Maths,67.6,2.8,S11307,4
Language,66.9,2.5,S11308,1
Science,100.0,4.8,S11308,1
Maths,75.3,2.0,S11308,1
Language,75.4,1.8,S11309,4
Science,84.1,6.9,S11309,4
Maths,78.7,5.1,S11309,4
Language,70.3,2.0,S11310,3
Science,87.7,3.9,S11310,3
Maths,57.3,1.5,S11310,3
Language,72.6,1.6,S11311,2
Science,94.2,7.5,S11311,2
Maths,68.5,4.7,S11311,2
Language,79.4,2.4,S11312,1
Science,86.6,3.6,S11312,1
Maths,39.2,1.7,S11312,1
Language,72.9,2.3,S11313,1
Science,92.2,7.9,S11313,1
Maths,73.5,4.6,S11313,1
Language,71.5,2.0,S11314,2
Science,100.0,4.8,S11314,2
Maths,48.1,2.6,S11314,2
Language,57.4,2.7,S11315,4
Science,87.1,7.3,S11315,4
Maths,59.2,7.0,S11315,4
Language,77.2,1.3,S11316,2
Science,88.3,3.8,S11316,2
Maths,57.4,7.9,S11316,2
Language,72.5,1.6,S11317,4
Science,86.7,7.3,S11317,4
Maths,67.7,1.6,S11317,4
Language,79.8,2.3,S11318,2
Science,56.1,1.2,S11318,2
Maths,44.5,1.9,S11318,2
Language,74.8,2.7,S11319,3
Science,72.8,1.4,S11319,3
Maths,51.3,2.3,S11319,3
Language,69.4,2.2,S11320,4
Science,96.7,6.8,S11320,4
Maths,85.9,5.2,S11320,4
Language,63.6,2.2,S11321,3
Science,63.5,2.2,S11321,3
Maths,64.5,3.8,S11321,3
Language,76.1,2.5,S11322,1
Science,80.9,3.1,S11322,1
Maths,77.3,3.9,S11322,1
Language,81.8,2.1,S11323,2
Science,56.4,1.4,S11323,2
Maths,49.9,8.0,S11323,2
Language,78.7,1.6,S11324,1
Science,87.7,3.4,S11324,1
Maths,70.4,4.8,S11324,1
Language,71.7,1.7,S11325,1
Science,68.3,1.3,S11325,1
Maths,78.0,3.7,S11325,1
Language,65.4,2.5,S11326,1
Science,77.3,2.0,S11326,1
Maths,79.4,6.0,S11326,1
Language,84.2,1.0,S11327,1
Science,75.6,2.5,S11327,1
Maths,49.1,6.3,S11327,1
Language,80.0,1.2,S11328,2
Science,100.0,5.8,S11328,2
Maths,55.9,7.8,S11328,2
Language,66.7,2.7,S11329,1
Science,100.0,7.3,S11329,1
Maths,76.7,6.0,S11329,1
Language,72.4,2.7,S11330,2
Science,92.9,4.4,S11330,2
Maths,78.3,4.2,S11330,2
Language,56.9,2.9,S11331,2
Science,100.0,4.8,S11331,2
Maths,81.0,5.8,S11331,2
Language,79.5,2.2,S11332,3
Science,92.0,6.8,S11332,3
Maths,55.9,1.9,S11332,3
Language,83.1,1.5,S11333,4
Science,96.1,7.1,S11333,4
Maths,55.6,2.8,S11333,4
Language,75.3,1.0,S11334,4
Science,93.4,6.3,S11334,4
Maths,47.3,2.9,S11334,4
Language,76.4,1.6,S11335,2
Science,94.6,6.5,S11335,2
Maths,45.4,7.4,S11335,2
Language,72.8,2.4,S11336,3
Science,78.2,2.8,S11336,3
Maths,73.3,7.3,S11336,3
Language,80.4,2.3,S11337,2
Science,87.5,3.9,S11337,2
Maths,89.9,7.3,S11337,2
Language,80.0,1.7,S11338,2
Science,90.1,6.6,S11338,2
Maths,71.8,4.6,S11338,2
Language,71.4,2.3,S11339,2
Science,84.6,3.7,S11339,2
Maths,78.0,6.5,S11339,2
Language,80.5,1.7,S11340,3
Science,75.9,2.7,S11340,3
Maths,50.0,2.4,S11340,3
Language,84.8,1.1,S11341,4
Science,88.8,7.4,S11341,4
Maths,43.3,2.9,S11341,4
Language,68.8,1.1,S11342,3
Science,88.0,3.9,S11342,3
Maths,63.8,7.5,S11342,3
Language,73.4,2.8,S11343,1
Science,89.3,3.2,S11343,1
Maths,59.8,5.4,S11343,1
Language,75.9,2.0,S11344,3
Science,91.3,6.7,S11344,3
Maths,65.6,4.0,S11344,3
Language,83.6,1.2,S11345,3
Science,83.8,3.5,S11345,3
Maths,59.3,6.7,S11345,3
Language,72.8,1.7,S11346,3
Science,72.7,2.2,S11346,3
Maths,68.1,7.2,S11346,3
Language,70.6,3.0,S11347,3
Science,89.9,3.6,S11347,3
Maths,53.5,8.0,S11347,3
Language,76.6,2.3,S11348,4
Science,88.3,3.5,S11348,4
Maths,80.1,5.0,S11348,4
Language,84.5,1.0,S11349,1
Science,81.9,3.4,S11349,1
Maths,51.8,7.3,S11349,1
Language,76.0,1.1,S11350,4
Science,93.3,5.3,S11350,4
Maths,69.4,4.7,S11350,4
Language,75.2,1.5,S11351,4
Science,91.5,4.5,S11351,4
Maths,59.1,6.1,S11351,4
Language,70.0,1.7,S11352,3
Science,100.0,5.0,S11352,3
Maths,57.9,6.4,S11352,3
Language,77.7,1.7,S11353,2
Science,87.1,4.2,S11353,2
Maths,74.9,3.4,S11353,2
Language,80.9,1.3,S11354,2
Science,85.7,8.0,S11354,2
Maths,85.6,3.6,S11354,2
Language,80.5,1.2,S11355,4
Science,89.3,5.8,S11355,4
Maths,70.9,3.8,S11355,4
Language,73.7,1.2,S11356,4
Science,86.2,3.2,S11356,4
Maths,59.7,1.8,S11356,4
Language,80.1,2.1,S11357,3
Science,93.6,5.0,S11357,3
Maths,54.4,6.2,S11357,3
Language,80.0,1.3,S11358,4
Science,72.1,2.5,S11358,4
Maths,48.5,3.1,S11358,4
Language,66.5,2.4,S11359,3
Science,100.0,5.4,S11359,3
Maths,84.1,3.0,S11359,3
Language,67.9,1.6,S11360,2
Science,82.6,7.9,S11360,2
Maths,61.3,6.7,S11360,2
Language,66.5,2.7,S11361,2
Science,91.6,6.2,S11361,2
Maths,61.6,4.6,S11361,2
Language,81.7,2.6,S11362,1
Science,68.5,1.8,S11362,1
Maths,70.8,5.0,S11362,1
Language,65.7,2.3,S11363,2
Science,76.6,2.8,S11363,2
Maths,53.7,2.5,S11363,2
Language,66.3,3.0,S11364,4
Science,96.1,4.8,S11364,4
Maths,42.3,7.0,S11364,4
Language,79.7,2.1,S11365,2
Science,99.5,6.0,S11365,2
Maths,78.3,7.1,S11365,2
Language,63.2,2.7,S11366,3
Science,100.0,5.5,S11366,3
Maths,58.1,6.7,S11366,3
Language,64.8,2.7,S11367,2
Science,70.5,2.6,S11367,2
Maths,74.3,3.8,S11367,2
Language,71.2,1.4,S11368,1
Science,77.7,8.0,S11368,1
Maths,65.1,8.0,S11368,1
Language,76.6,1.1,S11369,2
Science,59.6,1.2,S11369,2
Maths,68.7,4.6,S11369,2
Language,78.1,2.1,S11370,3
Science,78.1,3.2,S11370,3
Maths,48.2,7.5,S11370,3
Language,81.6,2.6,S11371,3
Science,86.6,6.7,S11371,3
Maths,40.9,7.6,S11371,3
Language,78.2,1.3,S11372,4
Science,89.1,6.6,S11372,4
Maths,61.0,6.4,S11372,4
Language,83.1,1.2,S11373,2
Science,98.5,5.1,S11373,2
Maths,62.0,2.2,S11373,2
Language,84.6,1.0,S11374,3
Science,97.6,5.7,S11374,3
Maths,51.4,7.9,S11374,3
Language,75.3,2.9,S11375,1
Science,81.9,3.0,S11375,1
Maths,83.2,1.8,S11375,1
Language,80.4,2.1,S11376,4
Science,90.6,6.3,S11376,4
Maths,60.7,7.4,S11376,4
Language,72.7,2.3,S11377,1
Science,77.2,7.9,S11377,1
Maths,65.0,5.4,S11377,1
Language,81.0,2.7,S11378,2
Science,84.8,7.0,S11378,2
Maths,69.3,4.4,S11378,2
Language,77.6,1.0,S11379,2
Science,93.5,6.0,S11379,2
Maths,70.5,3.1,S11379,2
Language,82.7,2.1,S11380,2
Science,59.2,1.4,S11380,2
Maths,30.0,1.9,S11380,2
Language,76.9,1.6,S11381,4
Science,66.6,1.5,S11381,4
Maths,69.7,1.9,S11381,4
Language,87.9,1.1,S11382,3
Science,90.0,6.3,S11382,3
Maths,30.0,6.5,S11382,3
Language,75.8,1.0,S11383,4
Science,81.1,7.5,S11383,4
Maths,66.7,7.4,S11383,4
Language,72.7,2.8,S11384,1
Science,77.8,2.6,S11384,1
Maths,59.6,1.7,S11384,1
Language,75.5,1.5,S11385,4
Science,92.1,5.8,S11385,4
Maths,61.8,2.1,S11385,4
Language,78.7,1.8,S11386,1
Science,86.1,3.9,S11386,1
Maths,46.6,1.7,S11386,1
Language,78.3,1.3,S11387,4
Science,74.5,2.7,S11387,4
Maths,74.9,2.9,S11387,4
Language,78.9,2.1,S11388,3
Science,93.1,6.9,S11388,3
Maths,75.2,5.7,S11388,3
Language,74.1,2.8,S11389,1
Science,83.7,7.8,S11389,1
Maths,72.7,2.4,S11389,1
Language,79.7,2.1,S11390,2
Science,66.4,1.7,S11390,2
Maths,54.5,2.8,S11390,2
Language,78.1,1.6,S11391,2
Science,81.7,3.7,S11391,2
Maths,65.7,7.0,S11391,2
Language,75.2,1.9,S11392,4
Science,83.2,2.9,S11392,4
Maths,60.1,2.0,S11392,4
Language,78.3,1.2,S11393,2
Science,79.1,3.7,S11393,2
Maths,69.5,2.2,S11393,2
Language,74.4,2.5,S11394,1
Science,81.2,3.2,S11394,1
Maths,73.7,5.6,S11394,1
Language,71.5,2.5,S11395,2
Science,96.4,4.7,S11395,2
Maths,71.1,7.1,S11395,2
Language,79.3,1.9,S11396,3
Science,88.8,6.9,S11396,3
Maths,50.2,2.5,S11396,3
Language,72.5,2.7,S11397,3
Science,71.2,2.2,S11397,3
Maths,68.1,5.0,S11397,3
Language,71.2,2.7,S11398,4
Science,66.1,1.4,S11398,4
Maths,34.9,6.2,S11398,4
Language,87.5,1.6,S11399,1
Science,100.0,4.5,S11399,1
Maths,67.5,4.8,S11399,1
Language,63.1,2.8,S11400,3
Science,91.3,7.0,S11400,3
Maths,80.2,4.9,S11400,3
Language,70.3,1.7,S11401,3
Science,99.1,6.9,S11401,3
Maths,54.7,1.7,S11401,3
Language,73.5,1.8,S11402,1
Science,79.2,3.3,S11402,1
Maths,83.0,5.6,S11402,1
Language,79.1,2.0,S11403,2
Science,86.4,6.7,S11403,2
Maths,73.3,5.0,S11403,2
Language,72.3,2.9,S11404,2
Science,100.0,5.5,S11404,2
Maths,32.3,7.5,S11404,2
Language,66.1,3.0,S11405,4
Science,88.0,7.0,S11405,4
Maths,55.2,3.9,S11405,4
Language,78.0,1.3,S11406,2
Science,92.0,7.1,S11406,2
Maths,53.7,2.3,S11406,2
Language,72.7,2.5,S11407,1
Science,96.9,5.1,S11407,1
Maths,62.2,2.5,S11407,1
Language,83.8,1.1,S11408,3
Science,92.8,5.0,S11408,3
Maths,57.9,5.3,S11408,3
Language,79.4,1.5,S11409,2
Science,71.8,2.0,S11409,2
Maths,75.8,2.3,S11409,2
Language,79.9,1.4,S11410,4
Science,99.9,5.6,S11410,4
Maths,68.6,3.8,S11410,4
Language,76.3,2.7,S11411,2
Science,90.4,6.3,S11411,2
Maths,34.1,2.3,S11411,2
Language,74.2,1.2,S11412,1
Science,96.1,6.7,S11412,1
Maths,59.2,8.0,S11412,1
Language,68.0,2.6,S11413,4
Science,88.9,6.5,S11413,4
Maths,87.3,4.2,S11413,4
Language,73.1,2.2,S11414,2
Science,87.2,7.9,S11414,2
Maths,97.8,5.7,S11414,2
Language,73.8,1.5,S11415,4
Science,85.1,2.9,S11415,4
Maths,67.9,5.3,S11415,4
Language,80.5,1.2,S11416,1
Science,91.9,7.7,S11416,1
Maths,73.9,5.7,S11416,1
Language,67.0,2.3,S11417,3
Science,59.8,1.2,S11417,3
Maths,59.4,4.4,S11417,3
Language,83.2,1.3,S11418,1
Science,89.4,3.1,S11418,1
Maths,57.2,1.1,S11418,1
Language,74.9,1.3,S11419,1
Science,89.9,3.6,S11419,1
Maths,92.1,2.6,S11419,1
Language,81.5,1.7,S11420,1
Science,95.1,6.3,S11420,1
Maths,61.3,4.9,S11420,1
Language,64.0,2.8,S11421,1
Science,62.2,1.3,S11421,1
Maths,75.6,5.2,S11421,1
Language,73.4,2.0,S11422,3
Science,86.2,7.2,S11422,3
Maths,67.7,4.8,S11422,3
Language,72.3,2.4,S11423,3
Science,96.6,5.9,S11423,3
Maths,99.2,4.0,S11423,3
Language,65.5,2.2,S11424,4
Science,95.0,4.1,S11424,4
Maths,52.5,6.6,S11424,4
Language,68.9,2.4,S11425,2
Science,80.1,3.2,S11425,2
Maths,64.5,6.3,S11425,2
Language,70.4,1.1,S11426,3
Science,81.0,2.6,S11426,3
Maths,77.6,5.3,S11426,3
Language,70.0,3.0,S11427,3
Science,95.7,5.4,S11427,3
Maths,46.0,5.8,S11427,3
Language,76.3,1.2,S11428,2
Science,63.9,1.5,S11428,2
Maths,82.5,2.4,S11428,2
Language,74.6,2.0,S11429,3
Science,83.5,3.3,S11429,3
Maths,47.6,2.9,S11429,3
Language,73.3,2.2,S11430,1
Science,78.6,7.8,S11430,1
Maths,55.6,6.4,S11430,1
Language,73.5,3.0,S11431,1
Science,66.2,1.7,S11431,1
Maths,56.7,7.8,S11431,1
Language,77.0,2.3,S11432,2
Science,100.0,4.7,S11432,2
Maths,35.1,6.6,S11432,2
Language,78.8,2.1,S11433,4
Science,100.0,4.7,S11433,4
Maths,52.6,1.7,S11433,4
Language,70.0,2.6,S11434,4
Science,84.4,3.5,S11434,4
Maths,65.0,5.3,S11434,4
Language,82.1,1.8,S11435,2
Science,100.0,6.2,S11435,2
Maths,84.8,3.7,S11435,2
Language,66.7,2.0,S11436,2
Science,89.7,6.4,S11436,2
Maths,53.0,6.3,S11436,2
Language,78.8,1.0,S11437,1
Science,90.8,4.0,S11437,1
Maths,74.7,4.3,S11437,1
Language,77.4,1.5,S11438,4
Science,100.0,5.2,S11438,4
Maths,68.4,1.7,S11438,4
Language,73.3,2.2,S11439,3
Science,87.7,3.4,S11439,3
Maths,63.4,2.9,S11439,3
Language,78.9,2.0,S11440,1
Science,100.0,5.8,S11440,1
Maths,86.3,3.5,S11440,1
Language,72.3,1.4,S11441,2
Science,88.7,3.9,S11441,2
Maths,66.7,7.8,S11441,2
Language,71.9,1.3,S11442,4
Science,94.4,6.5,S11442,4
Maths,66.8,6.5,S11442,4
Language,63.9,3.0,S11443,3
Science,88.4,7.2,S11443,3
Maths,65.3,1.7,S11443,3
Language,85.3,1.4,S11444,3
Science,71.0,2.1,S11444,3
Maths,63.5,5.6,S11444,3
Language,67.1,2.3,S11445,1
Science,91.0,4.3,S11445,1
Maths,65.5,6.5,S11445,1
Language,82.3,1.1,S11446,4
Science,84.5,7.0,S11446,4
Maths,66.4,2.8,S11446,4
Language,68.0,1.4,S11447,4
Science,88.9,6.7,S11447,4
Maths,79.0,4.2,S11447,4
Language,78.4,2.5,S11448,2
Science,56.8,1.4,S11448,2
Maths,77.8,5.3,S11448,2
Language,75.0,1.7,S11449,4
Science,71.8,3.0,S11449,4
Maths,61.9,3.0,S11449,4
Language,72.2,2.8,S11450,4
Science,97.6,7.3,S11450,4
Maths,75.3,3.2,S11450,4
Language,88.8,2.0,S11451,1
Science,95.3,4.2,S11451,1
Maths,67.5,4.2,S11451,1
Language,74.8,2.9,S11452,4
Science,81.3,7.6,S11452,4
Maths,76.3,5.6,S11452,4
Language,77.2,1.7,S11453,3
Science,99.6,5.2,S11453,3
Maths,41.9,2.6,S11453,3
Language,60.1,2.5,S11454,1
Science,82.9,2.9,S11454,1
Maths,56.0,8.0,S11454,1
Language,72.3,2.9,S11455,1
Science,77.1,2.0,S11455,1
Maths,78.7,3.6,S11455,1
Language,64.3,3.0,S11456,2
Science,91.9,4.3,S11456,2
Maths,73.4,5.8,S11456,2
Language,80.3,2.2,S11457,4
Science,71.1,2.9,S11457,4
Maths,66.0,7.7,S11457,4
Language,69.9,2.0,S11458,2
Science,74.3,2.7,S11458,2
Maths,71.3,6.8,S11458,2
Language,78.5,1.5,S11459,3
Science,68.0,1.8,S11459,3
Maths,56.7,8.0,S11459,3
Language,76.7,2.4,S11460,1
Science,90.6,6.5,S11460,1
Maths,51.4,1.1,S11460,1
Language,83.1,1.3,S11461,1
Science,63.6,2.6,S11461,1
Maths,64.6,3.0,S11461,1
Language,74.9,1.3,S11462,1
Science,81.9,2.7,S11462,1
Maths,62.3,2.5,S11462,1
Language,68.5,2.2,S11463,3
Science,89.7,5.9,S11463,3
Maths,85.1,3.3,S11463,3
Language,67.2,2.4,S11464,3
Science,82.9,3.6,S11464,3
Maths,54.0,2.9,S11464,3
Language,82.0,1.1,S11465,2
Science,91.6,6.2,S11465,2
Maths,40.4,1.4,S11465,2
Language,80.5,1.5,S11466,2
Science,76.8,2.4,S11466,2
Maths,90.6,3.4,S11466,2
Language,72.7,2.7,S11467,2
Science,86.0,6.6,S11467,2
Maths,82.5,7.9,S11467,2
Language,71.5,2.3,S11468,4
Science,89.6,7.9,S11468,4
Maths,81.9,2.1,S11468,4
Language,75.9,1.9,S11469,1
Science,92.8,4.3,S11469,1
Maths,77.5,5.2,S11469,1
Language,81.7,1.1,S11470,1
Science,93.0,3.8,S11470,1
Maths,57.3,1.1,S11470,1
Language,80.2,1.0,S11471,2
Science,95.9,5.3,S11471,2
Maths,69.8,5.6,S11471,2
Language,75.3,1.1,S11472,1
Science,97.2,5.1,S11472,1
Maths,65.4,5.6,S11472,1
Language,83.3,1.2,S11473,2
Science,69.1,1.6,S11473,2
Maths,58.4,2.5,S11473,2
Language,78.6,1.5,S11474,4
Science,91.8,5.8,S11474,4
Maths,74.6,5.5,S11474,4
Language,84.2,1.3,S11475,4
Science,85.5,3.0,S11475,4
Maths,90.8,4.7,S11475,4
Language,77.3,2.4,S11476,3
Science,100.0,5.1,S11476,3
Maths,72.1,6.5,S11476,3
Language,65.3,2.8,S11477,4
Science,90.6,3.7,S11477,4
Maths,73.5,1.4,S11477,4
Language,73.7,2.2,S11478,2
Science,69.2,1.9,S11478,2
Maths,72.3,5.2,S11478,2
Language,74.1,2.1,S11479,4
Science,87.8,3.7,S11479,4
Maths,64.0,6.8,S11479,4
Language,73.8,1.4,S11480,3
Science,89.6,6.4,S11480,3
Maths,69.4,7.6,S11480,3
Language,75.3,2.3,S11481,1
Science,83.2,3.7,S11481,1
Maths,58.0,1.2,S11481,1
Language,81.7,2.4,S11482,2
Science,88.7,4.9,S11482,2
Maths,30.0,2.9,S11482,2
Language,65.8,1.8,S11483,1
Science,100.0,6.7,S11483,1
Maths,44.5,7.3,S11483,1
Language,69.9,2.7,S11484,3
Science,64.7,1.2,S11484,3
Maths,67.1,2.8,S11484,3
Language,72.2,2.3,S11485,3
Science,72.9,1.6,S11485,3
Maths,71.4,7.0,S11485,3
Language,67.3,2.9,S11486,3
Science,72.0,2.7,S11486,3
Maths,76.5,3.5,S11486,3
Language,76.6,2.5,S11487,1
Science,100.0,4.4,S11487,1
Maths,64.6,2.5,S11487,1
Language,71.2,2.4,S11488,1
Science,100.0,6.2,S11488,1
Maths,86.1,3.8,S11488,1
Language,73.8,3.0,S11489,1
Science,78.1,3.4,S11489,1
Maths,55.3,2.4,S11489,1
Language,72.0,2.4,S11490,1
Science,76.8,2.3,S11490,1
Maths,57.0,3.0,S11490,1
Language,75.6,1.5,S11491,3
Science,94.1,6.2,S11491,3
Maths,56.6,6.6,S11491,3
Language,85.7,1.5,S11492,3
Science,100.0,5.6,S11492,3
Maths,85.0,4.1,S11492,3
Language,70.2,2.5,S11493,2
Science,82.9,3.2,S11493,2
Maths,47.2,1.4,S11493,2
Language,72.4,1.7,S11494,2
Science,98.6,6.3,S11494,2
Maths,72.4,6.2,S11494,2
Language,67.9,2.5,S11495,1
Science,88.5,3.8,S11495,1
Maths,37.9,7.4,S11495,1
Language,76.1,2.3,S11496,4
Science,85.3,4.0,S11496,4
Maths,76.1,5.1,S11496,4
Language,80.7,2.6,S11497,4
Science,89.2,6.1,S11497,4
Maths,65.2,6.9,S11497,4
Language,70.3,2.9,S11498,3
Science,72.3,2.8,S11498,3
Maths,49.5,6.3,S11498,3
Language,73.2,2.8,S11499,3
Science,72.0,2.3,S11499,3
Maths,89.1,3.3,S11499,3
Language,80.9,1.3,S11500,3
Science,94.1,4.9,S11500,3
Maths,73.0,1.9,S11500,3
Language,84.5,1.1,S11501,2
Science,100.0,4.9,S11501,2
Maths,68.5,7.5,S11501,2
Language,73.3,2.6,S11502,2
Science,87.2,3.1,S11502,2
Maths,76.4,2.5,S11502,2
Language,71.1,1.3,S11503,3
Science,70.2,2.8,S11503,3
Maths,73.1,5.1,S11503,3
Language,75.0,2.8,S11504,3
Science,100.0,5.1,S11504,3
Maths,71.5,4.4,S11504,3
Language,71.4,2.5,S11505,3
Science,70.5,2.2,S11505,3
Maths,58.8,2.0,S11505,3
Language,79.3,1.3,S11506,4
Science,88.2,6.9,S11506,4
Maths,72.1,3.6,S11506,4
Language,78.4,1.7,S11507,2
Science,64.8,2.1,S11507,2
Maths,93.5,5.3,S11507,2
Language,83.3,2.5,S11508,4
